Date,PM2.5,PM10
05/02/14,19.0,34.333333333333336
05/02/16,18.692307692307693,42.875
05/02/17,13.0125,39.25
05/02/18,10.98,22.0
05/02/19,10.116666666666667,30.0
05/02/24,10.75,25.625
05/03/16,15.571428571428571,48.75
05/03/17,15.075,33.75
05/03/18,12.6375,31.75
05/03/19,16.275,44.25
05/03/21,13.383333333333333,27.833333333333332
05/03/24,16.85,33.0
05/04/15,13.1875,23.625
05/04/16,18.9375,47.875
05/04/17,17.425,29.75
05/04/18,13.566666666666668,36.0
05/04/21,17.03333333333333,37.0
05/04/23,4.65,4.0
05/05/14,15.8,35.6
05/05/15,11.75,21.5
05/05/16,6.4375,19.75
05/05/20,14.55,41.0
05/05/21,23.7375,43.75
05/05/23,4.9750000000000005,5.9375
05/06/14,11.0,20.333333333333332
05/06/15,12.625,27.75
05/06/16,7.6875,21.375
05/06/19,5.80625,13.625
05/06/22,17.414285714285715,34.285714285714285
05/06/24,5.4375,18.375
05/07/14,15.0,34.857142857142854
05/07/15,10.583333333333334,25.5
05/07/18,12.725,40.666666666666664
05/07/19,4.33125,14.75
05/07/20,15.7,
05/08/14,17.0,31.0
05/08/15,6.571428571428571,
05/08/17,10.95,19.5
05/08/18,26.4,64.0
05/08/19,4.74375,16.285714285714285
05/08/23,7.2,11.0
05/08/24,8.525,21.416666666666668
05/09/14,21.285714285714285,39.285714285714285
05/09/16,5.733333333333333,20.875
05/09/18,11.15,29.0
05/09/19,7.05625,21.25
05/09/22,12.30625,35.6875
05/10/16,9.444444444444445,21.25
05/10/17,9.183333333333334,27.0
05/10/19,4.24375,14.125
05/10/21,13.25,29.0
05/10/22,10.95625,32.4375
05/10/24,16.625,33.0
05/11/15,23.0,
05/11/16,12.833333333333334,30.125
05/11/17,10.95,23.0
05/11/18,10.925,33.0
05/11/21,18.325,37.25
05/11/22,8.707142857142857,26.2
05/11/23,7.6,19.25
05/12/14,14.2,37.6
05/12/15,11.8,
05/12/16,16.214285714285715,28.375
05/12/17,20.883333333333333,43.0
05/12/21,16.55,25.333333333333332
05/12/22,10.60625,31.125
05/13/14,9.5,30.333333333333332
05/13/15,14.0,
05/13/16,21.0,44.25
05/13/19,8.60625,27.375
05/13/22,13.49375,36.625
05/14/14,13.5,39.5
05/14/15,11.1,26.428571428571427
05/14/18,17.95,38.0
05/14/19,16.70625,32.625
05/14/21,17.0,31.0
05/15/14,15.0,33.4
05/15/15,7.5,13.0
05/15/17,5.8,29.0
05/15/18,7.738461538461538,21.428571428571427
05/15/19,14.419999999999998,28.6
05/15/20,11.45,26.5
05/15/24,6.1,11.75
05/16/14,16.2,37.8
05/16/16,8.4375,27.75
05/16/17,11.255555555555555,28.666666666666668
05/16/22,12.958333333333334,25.916666666666668
05/16/24,6.45,8.785714285714286
05/17/16,10.25,28.25
05/17/17,11.528571428571428,26.571428571428573
05/17/19,8.4,26.0
05/17/21,7.046153846153846,7.571428571428571
05/17/22,11.5125,25.125
05/18/15,8.25,23.75
05/18/16,13.625,27.125
05/18/17,11.707142857142857,34.857142857142854
05/18/18,10.066666666666666,23.333333333333332
05/18/20,3.783333333333333,10.0
05/18/22,12.95,28.8125
05/19/14,19.375,34.25
05/19/15,7.75,23.75
05/19/16,10.1875,25.625
05/19/17,18.426666666666666,43.125
05/19/20,6.8125,20.0
05/19/22,16.3,30.25
05/20/14,11.625,21.25
05/20/15,11.0,28.0
05/20/16,9.285714285714286,27.428571428571427
05/20/20,8.0875,20.25
05/20/21,15.7,42.0
05/20/22,7.575,17.125
05/21/14,13.875,26.875
05/21/18,10.55,33.0
05/21/20,9.1375,24.375
05/21/24,12.05,31.0
05/22/14,15.125,21.75
05/22/15,12.0,24.0
05/22/17,21.7625,35.5
05/22/20,10.31875,29.0
05/22/23,2.033333333333333,12.0
05/22/24,12.8,26.0
05/23/14,15.375,22.625
05/23/16,5.416666666666667,22.666666666666668
05/23/17,18.04375,33.625
05/23/19,9.5,14.0
05/23/22,12.4,31.0
05/23/23,1.7,7.0
05/23/24,8.625,20.0
05/24/16,5.6,20.0
05/24/17,19.6,33.875
05/24/21,14.85,30.0
05/24/22,14.55,25.5
05/24/23,4.6,10.4
05/24/24,14.15,24.5
05/26/14,29.285714285714285,29.125
05/26/15,12.4,30.6
05/26/17,5.075,9.375
05/26/20,16.083333333333332,36.333333333333336
05/26/21,13.3,38.0
05/26/23,6.6125,12.5
05/27/14,33.25,36.125
05/27/15,17.076923076923077,31.75
05/27/20,18.478571428571428,34.57142857142857
05/27/22,10.725000000000001,20.5
